feature,importance_gain,importance_split
gap,139723.52897802414,701
hl_ratio,51733.48393859496,740
bb_lower,25994.643222145736,522
mom20,15338.066344242114,579
vol_ma20,13465.970022468857,694
vol_ratio,13059.255828828085,633
amp5,10889.345740563294,405
atr_ratio,10470.97898218641,556
vol_ma5,10054.353764427826,484
vol_ma10,9181.442471394315,452
amp10,8494.29803449486,382
ma20,8282.188178172335,305
rsi14,7324.618473770053,414
mom10,7033.85732016206,366
mom5,6977.5603454964,426
vp_corr_10,6841.9728775575495,511
bb_pos,6753.233624622633,367
bb_upper,6566.9790953747,330
bb_width,6565.7544554024935,408
atr14,5874.645630985498,389
close_pct_20,5578.70600262619,285
amp20,5063.742581710219,380
ma5,4894.573460589279,288
ma10,4218.654578793095,237
