feature,gain,split
gap,116551.19530364512,737
industry_code_id,64307.08160829544,2324
hl_ratio,51951.28984781378,697
days_listed,29805.373286843576,1417
bb_lower,28124.372246006533,741
amp5,25044.664807320834,518
log_days_listed,17866.423919461668,726
mom20,17121.334359651257,624
vol_ratio,16920.040640383027,716
vol_ma20,16739.610954819073,916
atr_ratio,16665.655137526832,721
ma20,11675.655722977594,496
bb_pos,10428.035414804006,365
amp10,9944.546548669226,465
vol_ma10,9422.011133307707,545
amp20,9088.900660484564,590
vp_corr_10,8642.022982786992,642
close_pct_20,8529.717708361677,338
bb_upper,8518.392769664526,441
atr14,8361.992453940213,541
vol_ma5,8337.952128986595,484
mom10,8076.492042784928,363
ma5,7907.730039358139,384
bb_width,7760.605806681793,519
mom5,7371.351100385189,427
rsi14,6763.081576810568,462
ma10,5463.824975937605,326
industry_mean_trigger,2684.1380112166516,221
market_dummy,1701.4194889068604,104
log_amp20,1558.2531259711832,107
