symbol,stock_name,industry,market,start_date,end_date,start_price,end_price,range_pct,win_days,span_days,win_low_sum_vol,win_amount,avg_amount,is_st,is_new,has_zero_vol,ipo_dt,days_since_ipo,status
bj920000,安徽凤凰,,BJ,2023-11-03,2023-11-27,5.01,10.65,1.125748502994012,20,24,98069634.0,725195316.0,36259765.8,False,False,False,,,
bj920001,纬达光电,,BJ,2023-11-14,2023-12-11,6.33,13.0,1.0537124802527646,20,27,125647865.0,1194259140.0,59712957.0,False,False,False,,,
bj920002,万达轴承,,BJ,2025-02-05,2025-02-20,70.42,143.01,1.0308151093439362,20,15,28128703.0,2499105484.0,124955274.2,False,False,False,,,
bj920006,晟楠科技,,BJ,2024-09-13,2024-10-15,8.68,19.5,1.2465437788018434,20,32,72823622.0,1025441584.0,51272079.2,False,False,False,,,
bj920008,成电光信,,BJ,2024-09-23,2024-10-09,15.8,38.66,1.4468354430379744,20,16,93669618.0,1930370724.0,96518536.2,False,False,False,,,
bj920010,凯添燃气,,BJ,2015-06-26,2015-08-14,1.0,8.1,7.1,20,49,15113500.0,55438520.0,2771926.0,False,False,False,,,
bj920016,中草香料,,BJ,2024-09-13,2024-09-13,12.2,45.0,2.6885245901639347,20,0,164677289.0,3894178501.0,194708925.05,False,False,False,,,
bj920021,流金科技,,BJ,2017-06-29,2017-07-03,1.88,8.5,3.5212765957446814,20,4,15485000.0,74879840.0,3743992.0,False,False,False,,,
bj920023,*ST田野,,BJ,2024-09-26,2024-10-29,2.46,5.08,1.065040650406504,20,33,502036753.0,1951042656.0,97552132.8,True,False,False,,,
bj920026,卓兆点胶,,BJ,2024-09-24,2024-10-22,14.22,29.0,1.0393811533052038,20,28,34521259.0,759112808.0,37955640.4,False,False,False,,,
bj920030,德众汽车,,BJ,2018-01-05,2018-02-06,2.0,13.8,5.9,20,32,1684000.0,4110200.0,205510.0,False,False,False,,,
bj920039,国义招标,,BJ,2015-11-17,2015-11-30,3.0,6.15,1.0500000000000003,20,13,1365000.0,6239700.0,311985.0,False,False,False,,,
bj920045,蘅东光,,BJ,2026-07-30,2026-08-24,209.43,465.97,1.224943895334957,20,25,36088890.0,12019278403.0,600963920.15,False,False,False,,,
bj920046,亿能电力,,BJ,2024-09-27,2024-10-31,7.02,14.58,1.076923076923077,20,34,174896464.0,1827707555.0,91385377.75,False,False,False,,,
bj920047,诺思兰德,,BJ,2015-02-02,2015-02-03,10.0,32.5,2.25,20,1,166000.0,3337020.0,166851.0,False,False,False,,,
bj920057,百甲科技,,BJ,2024-09-13,2024-10-15,3.01,6.46,1.1461794019933556,20,32,109989242.0,511394851.0,25569742.55,False,False,False,,,
bj920058,华洋赛车,,BJ,2023-11-03,2023-11-27,9.82,22.0,1.240325865580448,20,24,34771258.0,537756408.0,26887820.4,False,False,False,,,
bj920061,西磁科技,,BJ,2024-09-23,2024-10-22,9.53,22.6,1.3714585519412386,20,29,53299752.0,798155972.0,39907798.6,False,False,False,,,
bj920062,科润智控,,BJ,2024-10-11,2024-11-07,5.28,10.57,1.0018939393939394,20,27,304917998.0,2364600890.0,118230044.5,False,False,False,,,
bj920075,柏星龙,,BJ,2023-12-04,2023-12-26,9.36,19.7,1.1047008547008548,20,22,112239053.0,1560598045.0,78029902.25,False,False,False,,,
bj920077,吉林碳谷,,BJ,2020-07-27,2020-08-14,3.38,7.0,1.0710059171597632,20,18,1204744.0,5081371.0,254068.55,False,False,False,,,
bj920082,方正阀门,,BJ,2025-02-19,2025-03-14,13.03,26.52,1.0353031465848042,20,23,191869363.0,3457419769.0,172870988.45,False,False,False,,,
bj920083,金戈新材,,BJ,2026-06-15,2026-06-22,36.36,79.2,1.1782178217821784,20,7,172433330.0,9427217616.0,471360880.8,False,False,False,,,
bj920087,秋乐种业,,BJ,2023-11-24,2023-12-21,7.12,15.29,1.1474719101123596,20,27,208413095.0,2124807722.0,106240386.1,False,False,False,,,
bj920088,科力股份,,BJ,2025-05-26,2025-06-16,26.2,53.48,1.0412213740458016,20,21,75869802.0,2656924392.0,132846219.6,False,False,False,,,
