symbol,start_date,end_date,start_price,end_price,range_pct,win_days,span_days,win_low_sum_vol,win_amount
bj920000,2023-11-03,2023-11-27,5.01,10.65,1.125748502994012,20,24,98069634.0,725195316.0
bj920000,2023-11-03,2023-11-28,5.01,11.49,1.2934131736526946,20,25,107809494.0,829358367.0
bj920000,2023-11-06,2023-11-28,5.07,11.49,1.2662721893491122,20,22,122632263.0,965686772.0
bj920000,2023-11-07,2023-11-28,5.12,11.49,1.244140625,20,21,124571100.0,982138143.0
bj920000,2023-11-08,2023-11-28,5.34,11.49,1.1516853932584272,20,20,130113192.0,1034657011.0
bj920000,2024-09-25,2024-10-29,6.34,14.3,1.2555205047318614,20,34,68434177.0,647077068.0
bj920000,2024-09-26,2024-10-30,6.35,18.59,1.9275590551181105,20,34,84375793.0,951331362.0
bj920000,2024-09-27,2024-10-31,6.55,24.16,2.688549618320611,20,34,100374233.0,1306121110.0
bj920000,2024-09-30,2024-11-01,7.05,26.05,2.695035460992908,20,32,113718679.0,1645192922.0
bj920000,2024-10-11,2024-11-04,7.47,29.83,2.9933065595716197,20,24,126084437.0,2058599147.0
bj920000,2024-10-11,2024-11-05,7.47,38.3,4.127175368139223,20,25,140531753.0,2679132984.0
bj920000,2024-10-14,2024-11-05,7.56,38.3,4.066137566137566,20,22,176286586.0,3916816118.0
bj920000,2024-10-16,2024-11-05,7.61,38.3,4.032851511169513,20,20,182521465.0,4102075472.0
bj920000,2024-10-17,2024-11-05,8.0,38.3,3.7874999999999996,20,19,190613539.0,4377163577.0
bj920000,2024-10-18,2024-11-05,8.33,38.3,3.5978391356542616,20,18,191372352.0,4448268491.0
bj920000,2024-10-21,2024-11-05,9.02,38.3,3.246119733924612,20,15,193271956.0,4552924951.0
bj920000,2024-10-22,2024-11-05,9.05,38.3,3.232044198895027,20,14,192435926.0,4608351126.0
bj920000,2024-10-23,2024-11-05,9.07,38.3,3.2227122381477393,20,13,202324646.0,4921779785.0
bj920000,2024-10-24,2024-11-05,9.56,38.3,3.006276150627615,20,12,210335330.0,5199773946.0
bj920000,2024-10-28,2024-11-05,9.9,38.3,2.868686868686868,20,8,212918245.0,5358113562.0
bj920000,2024-10-29,2024-11-05,12.2,38.3,2.139344262295082,20,7,211557062.0,5477393737.0
bj920000,2024-10-30,2024-11-05,16.33,38.3,1.3453766074709126,20,6,207520468.0,5455316257.0
bj920000,2024-10-31,2024-11-05,16.8,38.3,1.2797619047619047,20,5,193598071.0,5218699105.0
bj920000,2024-11-01,2024-11-05,18.5,38.3,1.07027027027027,20,4,180200110.0,4948837141.0
bj920001,2023-11-14,2023-12-11,6.33,13.0,1.0537124802527646,20,27,125647865.0,1194259140.0
bj920001,2023-11-17,2023-12-11,6.34,13.0,1.050473186119874,20,24,142688772.0,1380880040.0
bj920001,2023-11-17,2023-12-14,6.34,13.6,1.1451104100946372,20,27,178160783.0,1800371860.0
bj920001,2023-11-20,2023-12-14,6.34,13.6,1.1451104100946372,20,24,188972800.0,1921443513.0
bj920001,2023-11-21,2023-12-14,6.55,13.6,1.0763358778625953,20,23,196536628.0,2007580908.0
bj920001,2023-11-22,2023-12-14,6.73,13.6,1.0208023774145616,20,22,201206393.0,2069600000.0
bj920001,2023-12-04,2023-12-29,7.41,15.32,1.067476383265857,20,25,228617929.0,2546353261.0
bj920001,2023-12-05,2024-01-02,7.68,19.85,1.584635416666667,20,28,249959816.0,2947298167.0
bj920001,2023-12-07,2024-01-02,8.31,19.85,1.388688327316486,20,26,257691310.0,3114946080.0
bj920001,2023-12-08,2024-01-02,8.89,19.85,1.232845894263217,20,25,267026628.0,3340833958.0
bj920001,2023-12-22,2024-01-02,9.18,19.85,1.1623093681917211,20,11,262546621.0,3322501350.0
bj920001,2023-12-25,2024-01-02,9.46,19.85,1.0983086680761098,20,8,208739269.0,2795060588.0
bj920001,2024-09-13,2024-10-21,7.12,17.03,1.3918539325842696,20,38,146815460.0,1595508764.0
bj920001,2024-09-19,2024-10-22,7.52,22.08,1.9361702127659575,20,33,159162469.0,1898091508.0
bj920001,2024-09-24,2024-10-22,7.71,22.08,1.863813229571984,20,28,172645872.0,2270884786.0
bj920001,2024-09-26,2024-10-22,8.03,22.08,1.7496886674968866,20,26,206021595.0,3048505912.0
bj920001,2024-09-26,2024-10-30,8.03,26.27,2.2714819427148196,20,34,221848349.0,3489474315.0
bj920001,2024-09-27,2024-10-30,8.26,26.27,2.1803874092009687,20,33,235299022.0,3874998837.0
bj920001,2024-09-30,2024-10-30,9.04,26.27,1.905973451327434,20,30,240120076.0,4082433479.0
bj920001,2024-10-11,2024-10-30,9.77,26.27,1.6888433981576254,20,19,238305321.0,4148509351.0
bj920001,2024-10-14,2024-10-30,9.9,26.27,1.6535353535353532,20,16,248285643.0,4703461535.0
bj920001,2024-10-16,2024-10-30,10.19,26.27,1.5780176643768402,20,14,251086550.0,4811015953.0
bj920001,2024-10-17,2024-10-30,10.51,26.27,1.499524262607041,20,13,253433556.0,4955086096.0
bj920001,2024-10-18,2024-10-30,10.99,26.27,1.3903548680618742,20,12,252565225.0,5033713150.0
bj920001,2024-10-21,2024-11-15,13.13,26.86,1.0456968773800455,20,25,251624675.0,5198108155.0
bj920002,2025-02-05,2025-02-20,70.42,143.01,1.0308151093439362,20,15,28128703.0,2499105484.0
bj920002,2025-02-05,2025-02-21,70.42,144.8,1.0562340244248793,20,16,30712277.0,2902515033.0
bj920002,2025-02-05,2025-02-25,70.42,160.56,1.280034081226924,20,20,34287416.0,3523957404.0
bj920002,2025-02-05,2025-02-26,70.42,188.5,1.6767963646691282,20,21,36261307.0,3984261767.0
bj920002,2025-02-05,2025-02-27,70.42,245.05,2.479835274069867,20,22,39113193.0,4760553982.0
bj920002,2025-02-05,2025-02-28,70.42,308.0,3.3737574552683895,20,23,41890059.0,5665146712.0
bj920002,2025-02-05,2025-03-04,70.42,329.2,3.6748082930985513,20,27,46898485.0,7322448653.0
bj920002,2025-02-06,2025-03-04,71.05,329.2,3.6333567909922593,20,26,49346830.0,8188221388.0
bj920002,2025-02-07,2025-03-04,79.18,329.2,3.157615559484718,20,25,49830155.0,8774116516.0
bj920002,2025-02-17,2025-03-04,79.22,329.2,3.155516283766725,20,15,49789610.0,9168934972.0
bj920002,2025-02-18,2025-03-04,84.01,329.2,2.9185811212950834,20,14,53747876.0,11212803810.0
bj920002,2025-02-19,2025-03-04,84.02,329.2,2.9181147345870033,20,13,53948478.0,11455946144.0
bj920002,2025-02-20,2025-03-04,117.0,329.2,1.8136752136752134,20,12,52302019.0,11490819066.0
bj920002,2025-02-25,2025-03-04,121.1,329.2,1.7184145334434353,20,7,49946894.0,11326382202.0
bj920002,2025-02-26,2025-03-04,141.03,329.2,1.3342551230234703,20,6,43980117.0,10734166964.0
bj920002,2025-04-07,2025-04-23,133.0,269.6,1.0270676691729324,20,16,28220145.0,5742358187.0
bj920002,2025-04-07,2025-04-25,133.0,285.08,1.143458646616541,20,18,30304283.0,6391255198.0
bj920002,2025-04-09,2025-04-25,136.51,285.08,1.0883451761775693,20,16,32943459.0,7419494756.0
bj920006,2024-09-13,2024-10-15,8.68,19.5,1.2465437788018434,20,32,72823622.0,1025441584.0
bj920006,2024-09-13,2024-10-21,8.68,23.14,1.665898617511521,20,38,126269675.0,2011185980.0
bj920006,2024-09-23,2024-10-21,8.75,23.14,1.6445714285714286,20,28,138475666.0,2274951023.0
bj920006,2024-09-23,2024-10-23,8.75,25.29,1.8902857142857141,20,30,156209178.0,2695111235.0
bj920006,2024-09-23,2024-10-24,8.75,26.77,2.059428571428571,20,31,170471714.0,3046376350.0
bj920006,2024-09-24,2024-10-24,8.8,26.77,2.042045454545454,20,30,190441232.0,3528978318.0
bj920006,2024-09-25,2024-10-24,9.15,26.77,1.9256830601092894,20,29,197637557.0,3699878969.0
bj920006,2024-09-26,2024-10-24,9.22,26.77,1.903470715835141,20,28,203620520.0,3844766459.0
bj920006,2024-09-27,2024-10-24,9.56,26.77,1.8002092050209204,20,27,209454928.0,3973983402.0
bj920006,2024-09-30,2024-10-24,10.34,26.77,1.5889748549323017,20,24,213582055.0,4077721119.0
bj920006,2024-10-11,2024-10-24,11.38,26.77,1.3523725834797888,20,13,213252105.0,4110404613.0
bj920006,2024-10-11,2024-11-05,11.38,27.15,1.3857644991212652,20,25,210776659.0,4157376942.0
bj920006,2024-10-11,2024-11-06,11.38,35.29,2.101054481546573,20,26,203095857.0,4070903291.0
bj920006,2024-10-11,2024-11-07,11.38,42.93,2.7724077328646746,20,27,215731014.0,4630949797.0
bj920006,2024-10-14,2024-11-08,12.48,43.0,2.4455128205128203,20,25,226961814.0,5165048093.0
bj920006,2024-10-15,2024-11-08,14.06,43.0,2.058321479374111,20,24,223276428.0,5304140652.0
bj920006,2024-10-16,2024-11-08,15.72,43.0,1.7353689567430024,20,23,214284244.0,5291152158.0
bj920006,2024-10-18,2024-11-08,15.83,43.0,1.7163613392293113,20,21,206772985.0,5249478556.0
bj920006,2024-10-21,2024-11-08,18.08,43.0,1.3783185840707968,20,18,189793192.0,5093295351.0
bj920006,2024-10-23,2024-11-08,18.23,43.0,1.35874931431706,20,16,179639107.0,4910354089.0
bj920006,2024-10-31,2024-11-08,19.38,43.0,1.2187822497420022,20,8,159040710.0,4519495206.0
bj920006,2024-11-01,2024-11-08,19.41,43.0,1.2153529108706853,20,7,141482667.0,4459886374.0
bj920006,2024-11-04,2024-11-08,19.62,43.0,1.1916411824668702,20,4,140184930.0,4471156753.0
bj920008,2024-09-23,2024-10-09,15.8,38.66,1.4468354430379744,20,16,93669618.0,1930370724.0
bj920008,2024-09-23,2024-10-10,15.8,42.99,1.720886075949367,20,17,97718449.0,2159916435.0
bj920008,2024-09-23,2024-10-15,15.8,49.58,2.1379746835443036,20,22,106102643.0,2783725107.0
bj920008,2024-09-23,2024-10-17,15.8,55.0,2.481012658227848,20,24,116874437.0,3475591869.0
bj920008,2024-09-23,2024-10-21,15.8,55.7,2.5253164556962027,20,28,125149034.0,4112298760.0
bj920008,2024-09-24,2024-10-21,15.81,55.7,2.523086654016445,20,27,129738638.0,4912064303.0
bj920008,2024-09-26,2024-10-21,15.94,55.7,2.4943538268506904,20,25,130342613.0,5025375715.0
bj920008,2024-09-27,2024-10-21,16.65,55.7,2.3453453453453457,20,24,129727171.0,5184634089.0
bj920008,2024-09-30,2024-10-21,18.4,55.7,2.0271739130434785,20,21,128039982.0,5221428958.0
bj920010,2015-06-26,2015-08-14,1.0,8.1,7.1,20,49,15113500.0,55438520.0
bj920010,2015-06-26,2015-08-19,1.0,8.5,7.5,20,54,14974500.0,54930020.0
bj920010,2015-07-03,2015-08-31,3.5,9.0,1.5714285714285716,20,59,2152500.0,14211740.0
bj920010,2015-08-25,2015-08-31,4.0,9.0,1.25,20,6,2155000.0,14274290.0
bj920010,2015-08-25,2015-09-18,4.0,9.52,1.38,20,24,1932000.0,11961090.0
bj920010,2023-11-17,2023-12-14,3.44,7.1,1.0639534883720931,20,27,250751834.0,1306380644.0
bj920010,2023-11-20,2023-12-15,3.47,7.38,1.1268011527377522,20,25,277459769.0,1492409364.0
bj920010,2023-11-21,2023-12-15,3.58,7.38,1.0614525139664805,20,24,295318959.0,1615168271.0
bj920010,2023-11-22,2023-12-15,3.65,7.38,1.021917808219178,20,23,306949629.0,1713952991.0
bj920010,2024-10-16,2024-11-07,4.72,9.47,1.0063559322033901,20,22,290980534.0,1905033655.0
bj920010,2024-10-16,2024-11-11,4.72,10.52,1.2288135593220337,20,26,337862265.0,2367604246.0
bj920010,2024-10-16,2024-11-12,4.72,10.88,1.305084745762712,20,27,361864071.0,2629702671.0
bj920010,2024-10-17,2024-11-12,5.02,10.88,1.167330677290837,20,26,370974170.0,2740613130.0
bj920010,2024-10-18,2024-11-12,5.07,10.88,1.145956607495069,20,25,383907600.0,2914809545.0
bj920010,2024-10-21,2024-11-15,5.28,11.45,1.168560606060606,20,25,406445544.0,3200781469.0
bj920010,2024-10-22,2024-11-18,5.35,13.28,1.4822429906542056,20,27,427734789.0,3558930122.0
bj920010,2024-10-23,2024-11-18,5.51,13.28,1.4101633393829403,20,26,442526496.0,3804410644.0
bj920010,2024-10-24,2024-11-18,5.7,13.28,1.3298245614035085,20,25,455359618.0,4038237890.0
bj920010,2024-11-04,2024-11-18,6.09,13.28,1.180623973727422,20,14,455890245.0,4187914498.0
bj920010,2024-11-04,2024-11-22,6.09,13.34,1.1904761904761907,20,18,459670531.0,4380426503.0
bj920010,2024-11-04,2024-11-25,6.09,13.96,1.292282430213465,20,21,480515078.0,4729784143.0
bj920010,2024-11-05,2024-11-25,6.55,13.96,1.1312977099236643,20,20,520312714.0,5500247732.0
bj920010,2025-02-19,2025-03-13,8.89,18.88,1.123734533183352,20,22,398770366.0,4831571445.0
bj920010,2025-02-19,2025-03-17,8.89,19.1,1.1484814398200225,20,26,427436985.0,5551571166.0
bj920010,2025-02-19,2025-03-18,8.89,20.2,1.2722159730033744,20,27,444282246.0,6020718739.0
bj920010,2025-02-20,2025-03-18,8.95,20.2,1.2569832402234637,20,26,458569682.0,6353850113.0
bj920010,2025-02-21,2025-03-18,9.25,20.2,1.1837837837837837,20,25,467534517.0,6564078498.0
bj920010,2025-02-24,2025-03-18,10.0,20.2,1.02,20,22,463674491.0,6613716379.0
bj920016,2024-09-13,2024-09-13,12.2,45.0,2.6885245901639347,20,0,164677289.0,3894178501.0
bj920016,2024-09-23,2024-10-09,16.88,42.99,1.546800947867299,20,16,154331531.0,3795842968.0
bj920016,2024-09-24,2024-10-09,17.4,42.99,1.4706896551724142,20,15,129474383.0,3471149073.0
bj920016,2024-09-25,2024-10-09,17.45,42.99,1.4636103151862465,20,14,122901145.0,3379585880.0
bj920016,2024-09-26,2024-10-09,19.11,42.99,1.2496075353218212,20,13,119278977.0,3382978058.0
bj920016,2024-09-27,2024-10-09,19.41,42.99,1.2148377125193202,20,12,116146550.0,3364133605.0
bj920021,2017-06-29,2017-07-03,1.88,8.5,3.5212765957446814,20,4,15485000.0,74879840.0
bj920021,2018-12-05,2019-01-25,1.5,5.0,2.3333333333333335,20,51,1119000.0,4798300.0
bj920021,2018-12-06,2019-01-25,1.78,5.0,1.8089887640449436,20,50,789000.0,4253770.0
bj920021,2018-12-10,2019-01-25,1.81,5.0,1.7624309392265194,20,46,772000.0,4228840.0
bj920021,2018-12-11,2019-01-25,1.94,5.0,1.5773195876288661,20,45,749000.0,4210340.0
bj920021,2018-12-12,2019-01-25,1.94,5.0,1.5773195876288661,20,44,853000.0,4671240.0
bj920021,2018-12-28,2019-01-25,2.15,5.0,1.3255813953488373,20,28,830000.0,4626340.0
bj920021,2019-02-18,2019-03-18,2.78,5.99,1.1546762589928061,20,28,199000.0,837680.0
bj920021,2019-02-18,2019-03-22,2.78,6.48,1.3309352517985613,20,32,207000.0,895460.0
bj920021,2019-02-21,2019-03-22,3.19,6.48,1.0313479623824455,20,29,259000.0,1164450.0
bj920021,2023-10-26,2023-11-22,2.4,5.01,1.0875,20,27,233556035.0,852302834.0
bj920021,2023-10-27,2023-11-23,2.44,5.82,1.3852459016393444,20,27,315069795.0,1274956862.0
bj920021,2023-11-02,2023-11-23,2.45,5.82,1.3755102040816327,20,21,382917598.0,1624404617.0
bj920021,2023-11-02,2023-11-27,2.45,6.12,1.4979591836734691,20,25,456871968.0,2033188891.0
bj920021,2023-11-03,2023-11-27,2.46,6.12,1.4878048780487805,20,24,562704006.0,2559328853.0
bj920021,2023-11-06,2023-11-27,2.51,6.12,1.4382470119521913,20,21,605680370.0,2773196147.0
bj920021,2023-11-08,2023-11-27,2.56,6.12,1.390625,20,19,634031990.0,2901866500.0
bj920021,2023-11-10,2023-11-27,2.76,6.12,1.2173913043478262,20,17,707610693.0,3329949918.0
bj920021,2023-11-10,2023-12-07,2.76,6.8,1.4637681159420293,20,27,762329025.0,3727954231.0
bj920021,2023-11-13,2023-12-07,2.77,6.8,1.454873646209386,20,24,808467400.0,4013776083.0
bj920021,2023-11-14,2023-12-07,2.79,6.8,1.4372759856630823,20,23,840534449.0,4224760538.0
bj920021,2023-11-15,2023-12-07,2.85,6.8,1.3859649122807016,20,22,868017936.0,4395362080.0
bj920021,2023-11-16,2023-12-07,2.85,6.8,1.3859649122807016,20,21,901971000.0,4606788927.0
bj920021,2023-11-17,2023-12-07,2.85,6.8,1.3859649122807016,20,20,945762600.0,4890978402.0
bj920021,2023-11-20,2023-12-07,2.87,6.8,1.3693379790940763,20,17,1005406187.0,5276739641.0
bj920021,2023-11-21,2023-12-07,3.0,6.8,1.2666666666666666,20,16,1040483820.0,5512088784.0
bj920021,2024-09-13,2024-10-08,2.76,5.88,1.1304347826086958,20,25,195485497.0,770152570.0
bj920021,2024-09-13,2024-10-21,2.76,6.36,1.304347826086957,20,38,449467992.0,2080993654.0
bj920021,2024-09-18,2024-10-22,2.78,8.25,1.9676258992805757,20,34,543080636.0,2844380732.0
bj920021,2024-09-24,2024-10-23,2.79,8.8,2.154121863799283,20,29,633796018.0,3583183188.0
bj920021,2024-09-24,2024-10-25,2.79,9.95,2.5663082437275984,20,31,779844579.0,4827623061.0
bj920021,2024-09-25,2024-10-29,2.9,11.0,2.793103448275862,20,34,921376867.0,6252023993.0
bj920021,2024-09-26,2024-10-29,2.98,11.0,2.691275167785235,20,33,956048523.0,6616409374.0
bj920021,2024-09-27,2024-10-29,3.25,11.0,2.3846153846153846,20,32,979178721.0,6890111385.0
bj920021,2024-09-30,2024-10-29,3.6,11.0,2.0555555555555554,20,29,985106515.0,7041106859.0
bj920021,2024-10-16,2024-10-29,4.01,11.0,1.7431421446384041,20,13,967936138.0,7048707733.0
bj920021,2024-10-17,2024-10-29,4.35,11.0,1.528735632183908,20,12,1027234325.0,8410603790.0
bj920021,2024-10-18,2024-10-29,4.5,11.0,1.4444444444444446,20,11,1013919486.0,8423672162.0
bj920021,2024-10-21,2024-10-29,5.09,11.0,1.1611001964636545,20,8,1003051105.0,8477210320.0
bj920021,2025-12-17,2026-01-14,6.37,13.57,1.1302982731554159,20,28,543148041.0,5218482646.0
bj920021,2025-12-24,2026-01-14,6.45,13.57,1.1038759689922482,20,21,688228372.0,6895905988.0
bj920021,2025-12-30,2026-01-14,6.53,13.57,1.0781010719754978,20,15,999709226.0,10555145355.0
bj920021,2025-12-31,2026-01-29,6.53,14.05,1.1516079632465543,20,29,1208877687.0,13472831395.0
bj920021,2026-01-05,2026-01-29,6.61,14.05,1.1255673222390317,20,24,1272370941.0,14367056112.0
bj920021,2026-01-08,2026-02-02,6.63,14.56,1.1960784313725492,20,25,1331234648.0,15265991310.0
bj920021,2026-01-08,2026-02-03,6.63,14.99,1.2609351432880844,20,26,1388317620.0,16152796069.0
bj920021,2026-01-09,2026-02-03,6.88,14.99,1.178779069767442,20,25,1474030090.0,17477819149.0
bj920023,2024-09-26,2024-10-29,2.46,5.08,1.065040650406504,20,33,502036753.0,1951042656.0
bj920023,2024-09-26,2024-10-30,2.46,5.16,1.0975609756097562,20,34,537498879.0,2150479027.0
bj920023,2024-10-11,2024-11-05,3.13,6.52,1.0830670926517572,20,25,644400007.0,2908400418.0
bj920023,2024-10-11,2024-11-06,3.13,7.82,1.4984025559105434,20,26,721381544.0,3518769050.0
bj920023,2024-10-14,2024-11-06,3.15,7.82,1.4825396825396826,20,23,836838332.0,4410173029.0
bj920023,2024-10-16,2024-11-06,3.25,7.82,1.4061538461538463,20,21,859244951.0,4581128888.0
bj920023,2024-10-17,2024-11-06,3.46,7.82,1.260115606936416,20,20,883615355.0,4794397770.0
bj920023,2024-10-18,2024-11-06,3.51,7.82,1.2279202279202281,20,19,877422168.0,4811004436.0
bj920023,2024-10-21,2024-11-06,3.76,7.82,1.0797872340425534,20,16,874885782.0,4837505110.0
bj920023,2024-10-22,2024-11-06,3.83,7.82,1.0417754569190603,20,15,870325710.0,4869441270.0
bj920023,2024-10-23,2024-11-06,3.9,7.82,1.005128205128205,20,14,863292594.0,4878229330.0
bj920026,2024-09-24,2024-10-22,14.22,29.0,1.0393811533052038,20,28,34521259.0,759112808.0
bj920026,2024-09-24,2024-10-24,14.22,32.0,1.250351617440225,20,30,45650557.0,1070717280.0
bj920026,2024-09-24,2024-10-25,14.22,34.99,1.4606188466947962,20,31,54930999.0,1365879160.0
bj920026,2024-09-26,2024-10-25,14.91,34.99,1.346747149564051,20,29,65293232.0,1657234985.0
bj920026,2024-09-27,2024-10-25,15.5,34.99,1.2574193548387096,20,28,71774406.0,1849334971.0
bj920026,2024-09-30,2024-10-25,17.01,34.99,1.0570252792475014,20,25,73039393.0,1891600753.0
bj920030,2018-01-05,2018-02-06,2.0,13.8,5.9,20,32,1684000.0,4110200.0
bj920030,2018-01-11,2018-02-06,4.0,13.8,2.45,20,26,187000.0,1123820.0
bj920030,2018-06-01,2018-06-27,2.0,5.0,1.5,20,26,4978000.0,16979380.0
bj920030,2018-06-04,2018-06-27,2.0,5.0,1.5,20,23,4854903.0,16840515.0
bj920030,2018-06-05,2018-06-27,2.2,5.0,1.2727272727272725,20,22,4596903.0,16326315.0
bj920030,2018-06-06,2018-06-27,2.5,5.0,1.0,20,21,3746903.0,14456815.0
bj920030,2021-08-27,2021-09-10,3.41,6.83,1.002932551319648,20,14,34373318.0,172000632.0
bj920030,2021-10-28,2021-11-15,4.81,9.69,1.0145530145530146,20,18,33191469.0,230016348.0
bj920030,2023-10-31,2023-11-27,2.43,5.65,1.3251028806584362,20,27,137067051.0,530661214.0
bj920030,2023-11-02,2023-11-27,2.43,5.65,1.3251028806584362,20,25,155737995.0,620595029.0
bj920030,2023-11-03,2023-11-27,2.45,5.65,1.306122448979592,20,24,181476776.0,725912033.0
bj920030,2023-11-06,2023-11-27,2.45,5.65,1.306122448979592,20,21,189411436.0,755523629.0
bj920030,2023-11-07,2023-11-27,2.45,5.65,1.306122448979592,20,20,195778432.0,778321336.0
bj920030,2023-11-08,2023-11-27,2.47,5.65,1.2874493927125505,20,19,210302214.0,835689726.0
bj920030,2023-11-13,2023-11-27,2.47,5.65,1.2874493927125505,20,14,217104799.0,868400551.0
bj920030,2023-11-14,2023-11-27,2.48,5.65,1.278225806451613,20,13,247507523.0,995983872.0
bj920030,2023-11-16,2023-11-27,2.5,5.65,1.2600000000000002,20,11,253809413.0,1022415653.0
bj920030,2023-11-17,2023-11-27,2.5,5.65,1.2600000000000002,20,10,279011339.0,1134578068.0
bj920030,2023-11-20,2023-11-27,2.5,5.65,1.2600000000000002,20,7,290891422.0,1188938762.0
bj920030,2023-11-21,2023-11-27,2.66,5.65,1.1240601503759398,20,6,298234513.0,1238700484.0
bj920030,2024-09-18,2024-10-22,3.35,7.09,1.116417910447761,20,34,265024487.0,1317337400.0
bj920030,2024-09-23,2024-10-23,3.37,7.68,1.2789317507418394,20,30,300977039.0,1568128782.0
bj920030,2024-09-24,2024-10-23,3.39,7.68,1.2654867256637168,20,29,363897339.0,1996370890.0
bj920030,2024-09-25,2024-10-23,3.5,7.68,1.1942857142857144,20,28,378753024.0,2115683343.0
bj920030,2024-09-26,2024-10-23,3.54,7.68,1.1694915254237288,20,27,391797352.0,2233953450.0
bj920030,2024-09-27,2024-10-23,3.65,7.68,1.1041095890410957,20,26,403110592.0,2327856864.0
bj920030,2024-10-14,2024-11-05,4.23,8.54,1.018912529550827,20,22,401360548.0,2450299091.0
bj920030,2024-10-14,2024-11-06,4.23,10.0,1.3640661938534278,20,23,422759748.0,2691852319.0
bj920030,2024-10-16,2024-11-06,4.3,10.0,1.3255813953488373,20,21,456712872.0,3102002520.0
bj920030,2024-10-17,2024-11-06,4.52,10.0,1.2123893805309738,20,20,459648209.0,3184514376.0
bj920030,2024-10-18,2024-11-06,4.52,10.0,1.2123893805309738,20,19,450868572.0,3166829682.0
bj920039,2015-11-17,2015-11-30,3.0,6.15,1.0500000000000003,20,13,1365000.0,6239700.0
bj920039,2023-11-17,2023-12-14,4.8,10.84,1.2583333333333333,20,27,106522960.0,754979072.0
bj920039,2023-11-20,2023-12-15,4.82,11.88,1.4647302904564317,20,25,120732291.0,905346776.0
bj920039,2023-11-21,2023-12-15,4.88,11.88,1.434426229508197,20,24,129795175.0,1001762347.0
bj920039,2023-11-22,2023-12-15,5.03,11.88,1.3618290258449304,20,23,132742455.0,1054921226.0
bj920039,2023-11-23,2023-12-15,5.41,11.88,1.1959334565619226,20,22,135619602.0,1108429680.0
bj920039,2023-11-24,2023-12-15,5.42,11.88,1.1918819188191883,20,21,139615230.0,1162601533.0
bj920039,2023-12-04,2023-12-15,5.69,11.88,1.0878734622144113,20,11,139803664.0,1177681581.0
bj920039,2023-12-05,2023-12-15,5.91,11.88,1.0101522842639596,20,10,146651470.0,1305398188.0
bj920039,2024-09-23,2024-10-25,4.95,10.5,1.121212121212121,20,32,84506353.0,653898156.0
bj920039,2024-09-24,2024-10-28,4.97,10.99,1.211267605633803,20,34,93770074.0,750171934.0
bj920039,2024-09-26,2024-10-28,5.15,10.99,1.1339805825242717,20,32,101724303.0,838066997.0
bj920039,2024-09-27,2024-10-28,5.32,10.99,1.0657894736842106,20,31,110367438.0,931542406.0
bj920039,2025-06-23,2025-07-11,9.88,20.6,1.0850202429149798,20,18,116565966.0,1673072498.0
bj920039,2025-06-23,2025-07-14,9.88,23.0,1.3279352226720644,20,21,143484579.0,2236588413.0
bj920039,2025-06-23,2025-07-15,9.88,24.9,1.520242914979757,20,22,168161564.0,2819600051.0
bj920039,2025-06-24,2025-07-15,10.32,24.9,1.4127906976744184,20,21,244025955.0,4334925404.0
bj920039,2025-07-07,2025-07-15,10.45,24.9,1.382775119617225,20,8,263927668.0,4707896070.0
bj920039,2025-07-08,2025-07-15,10.55,24.9,1.3601895734597154,20,7,309249908.0,5592039973.0
bj920039,2025-07-09,2025-07-15,11.18,24.9,1.2271914132379247,20,6,306733044.0,5580208595.0
bj920045,2026-07-30,2026-08-24,209.43,465.97,1.224943895334957,20,25,36088890.0,12019278403.0
bj920045,2026-07-30,2026-08-25,209.43,497.8,1.3769278517881869,20,26,37243017.0,12785027580.0
bj920045,2026-08-03,2026-08-27,213.05,529.61,1.485848392396151,20,24,38388604.0,14073351792.0
bj920045,2026-08-03,2026-08-28,213.05,555.0,1.6050222952358602,20,25,37459464.0,14303424817.0
bj920045,2026-08-04,2026-08-28,253.05,555.0,1.1932424422050976,20,24,36923561.0,14523613519.0
bj920045,2026-08-05,2026-08-28,263.0,555.0,1.1102661596958177,20,23,35867342.0,14515146812.0
bj920046,2024-09-27,2024-10-31,7.02,14.58,1.076923076923077,20,34,174896464.0,1827707555.0
bj920046,2024-10-11,2024-11-07,7.82,16.52,1.1125319693094626,20,27,171303355.0,1918735824.0
bj920046,2024-10-14,2024-11-08,7.9,21.0,1.6582278481012658,20,25,185234624.0,2223734024.0
bj920046,2024-10-15,2024-11-08,8.04,21.0,1.611940298507463,20,24,193136473.0,2378343165.0
